altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Variety,Processing.Method,Color,Total.Cup.Points
1800.0,0.11,0,1,0.0,SL14,Washed / Wet,Green,85.0
,0.0,0,3,0.0,Caturra,Washed / Wet,Green,85.0
1900.0,0.12,1,1,1.0,Catuai,Washed / Wet,Green,85.0
1300.0,0.09,0,3,0.0,Typica,Washed / Wet,Green,85.0
1.0,0.11,0,7,5.0,,Washed / Wet,Green,85.0
1580.0,0.0,0,5,0.0,SL34,Washed / Wet,Green,85.0
1100.0,0.12,0,3,0.0,Mundo Novo,Natural / Dry,Green,85.0
1400.0,0.0,0,0,0.0,Pacamara,,,85.0
,0.0,0,1,0.0,,,,85.0
404.12822400000005,0.04,0,1,0.0,,,,85.0
,0.0,1,2,6.0,Caturra,Washed / Wet,,84.92
1775.0,0.12,0,1,0.0,Caturra,Washed / Wet,Green,84.92
800.0,0.11,0,0,0.0,Typica,Semi-washed / Semi-pulped,Green,84.92
1620.0,0.12,0,2,0.0,Other,Washed / Wet,Green,84.92
1775.0,0.11,0,3,0.0,Caturra,Washed / Wet,Green,84.92
1200.0,0.11,0,0,0.0,Typica,Semi-washed / Semi-pulped,,84.92
1200.0,0.11,0,2,0.0,Bourbon,Natural / Dry,Green,84.92
1000.0,0.12,0,2,0.0,Catuai,Natural / Dry,Green,84.92
,0.06,1,9,0.0,,,,84.92
350.0,0.0,0,0,0.0,Typica,Natural / Dry,Green,84.83
1650.0,0.12,0,1,0.0,SL14,Natural / Dry,Green,84.83
,0.0,3,15,0.0,Hawaiian Kona,Natural / Dry,,84.83
1750.0,0.1,0,2,0.0,,,,84.83
1750.0,0.1,0,4,0.0,,,,84.83
,0.12,0,0,0.0,Caturra,Pulped natural / honey,Green,84.75
1800.0,0.13,0,0,0.0,SL34,Washed / Wet,Green,84.75
1450.0,0.11,0,4,0.0,Catuai,Washed / Wet,Green,84.75
1200.0,0.15,0,3,0.0,,,,84.75
925.0,0.18,0,2,0.0,,,,84.75
1350.0,0.0,0,2,0.0,Bourbon,Washed / Wet,Blue-Green,84.67
1200.0,0.12,0,7,0.0,Java,Washed / Wet,Green,84.67
170.0,0.12,0,0,0.0,Mundo Novo,Pulped natural / honey,Green,84.67
1150.0,0.1,0,2,0.0,Catuai,Washed / Wet,Blue-Green,84.67
1600.0,0.1,0,1,0.0,Bourbon,Washed / Wet,Green,84.67
1750.0,0.12,0,0,0.0,Caturra,Washed / Wet,Green,84.67
1900.0,0.1,0,3,0.0,Ethiopian Yirgacheffe,Washed / Wet,,84.67
1750.0,0.08,0,1,0.0,Other,Other,Green,84.67
1200.0,0.11,0,4,0.0,Catuai,Washed / Wet,Green,84.67
,0.0,1,10,0.0,,Washed / Wet,Green,84.67
1000.0,0.11,0,0,0.0,Typica,Washed / Wet,Green,84.67
1550.0,0.0,0,0,0.0,Caturra,Washed / Wet,Green,84.67
2000.0,0.11,0,0,0.0,SL28,Washed / Wet,Bluish-Green,84.67
399.48307200000005,0.11,0,4,0.0,Bourbon,Washed / Wet,Green,84.67
464.51520000000005,0.12,0,4,0.0,Bourbon,Washed / Wet,Green,84.67
1200.0,0.13,0,3,0.0,Typica,Washed / Wet,,84.67
1775.0,0.11,0,3,0.0,Other,Washed / Wet,Blue-Green,84.67
,0.0,0,3,0.0,,,,84.67
1750.0,0.2,0,3,0.0,,,,84.67
1754.0,0.11,0,5,0.0,SL34,Washed / Wet,Blue-Green,84.58
1500.0,0.0,0,4,0.0,Other,Washed / Wet,Blue-Green,84.58
,0.0,0,5,1.0,Caturra,Washed / Wet,Green,84.58
1800.0,0.1,0,2,0.0,Peaberry,Washed / Wet,Bluish-Green,84.58
464.51520000000005,0.11,0,1,0.0,Pacas,Washed / Wet,Green,84.58
371.61216,0.09,0,0,0.0,Bourbon,Washed / Wet,Green,84.58
1550.0,0.0,0,0,0.0,Caturra,Washed / Wet,,84.58
1750.0,0.0,0,5,0.0,Caturra,Washed / Wet,,84.58
,0.0,0,0,0.0,SL28,Washed / Wet,Green,84.58
1750.0,0.0,0,2,0.0,Caturra,Washed / Wet,Green,84.58
1575.0,0.12,0,2,0.0,Bourbon,Semi-washed / Semi-pulped,Bluish-Green,84.58
1800.0,0.11,0,6,0.0,Caturra,Washed / Wet,Green,84.58
1300.0,0.12,0,2,0.0,Bourbon,Semi-washed / Semi-pulped,Green,84.58
1100.0,0.11,0,1,0.0,Catuai,Semi-washed / Semi-pulped,Blue-Green,84.58
1200.0,0.1,0,2,0.0,Caturra,Washed / Wet,Bluish-Green,84.5
1750.0,0.11,0,1,0.0,SL14,Washed / Wet,Green,84.5
1680.0,0.1,0,1,0.0,Catimor,Washed / Wet,Green,84.5
1700.0,0.11,0,0,0.0,Caturra,Washed / Wet,Green,84.5
1800.0,0.12,1,0,0.0,Other,Washed / Wet,Green,84.5
1100.0,0.0,0,2,0.0,Other,Washed / Wet,Green,84.5
399.48307200000005,0.11,0,2,0.0,Bourbon,Washed / Wet,Green,84.5
2000.0,0.11,0,0,0.0,SL28,Washed / Wet,Blue-Green,84.5
1350.0,0.12,0,0,0.0,Typica,Washed / Wet,Green,84.5
1500.0,0.11,0,4,0.0,Typica,Washed / Wet,,84.5
,0.11,0,2,0.0,Bourbon,Washed / Wet,Green,84.5
,0.0,0,4,0.0,,,,84.5
,0.0,2,0,0.0,,,,84.5
1300.0,0.1,0,3,0.0,Caturra,Washed / Wet,Blue-Green,84.42
1400.0,0.0,0,3,0.0,Mandheling,Other,Blue-Green,84.42
,0.0,0,1,0.0,Caturra,Natural / Dry,Green,84.42
1775.0,0.0,0,3,0.0,Caturra,Washed / Wet,Green,84.42
1200.0,0.11,0,0,0.0,Typica,Washed / Wet,Blue-Green,84.42
,0.11,0,1,0.0,Hawaiian Kona,Natural / Dry,Blue-Green,84.42
900.0,0.12,2,4,0.0,Pacamara,Washed / Wet,,84.42
,0.2,0,2,0.0,,,,84.42
1800.0,0.11,0,4,0.0,SL28,Washed / Wet,Green,84.33
1500.0,0.1,0,3,0.0,Caturra,,Green,84.33
,0.0,0,5,3.0,Caturra,Washed / Wet,Green,84.33
1500.0,0.11,0,2,1.0,Catuai,Washed / Wet,Green,84.33
,0.0,0,4,2.0,,,,84.33
442.0,0.11,6,0,0.0,Caturra,Natural / Dry,Green,84.33
1800.0,0.0,0,0,0.0,Caturra,Washed / Wet,Green,84.33
1700.0,0.12,0,1,0.0,Typica,Washed / Wet,Blue-Green,84.33
1275.0,0.0,0,4,0.0,Yellow Bourbon,,,84.33
1050.0,0.02,0,2,0.0,,,,84.33
455.224896,0.0,0,1,0.0,,,,84.33
422.708832,0.04,1,1,0.0,,,,84.33
1000.0,0.12,0,0,0.0,Typica,Washed / Wet,Blue-Green,84.25
1200.0,0.12,0,0,0.0,Catimor,Natural / Dry,Green,84.25
2560.0,0.11,0,2,0.0,Caturra,Natural / Dry,Green,84.25
1500.0,0.11,0,4,4.0,Caturra,Washed / Wet,Green,84.25
335.10126528000006,0.1,0,1,0.0,Caturra,Washed / Wet,Green,84.25
1400.0,0.1,0,1,0.0,Catimor,Natural / Dry,Green,84.25
1775.0,0.11,0,3,0.0,Caturra,Washed / Wet,Green,84.25
1775.0,0.12,4,2,0.0,Caturra,Washed / Wet,Green,84.25
1800.0,0.12,0,0,0.0,Other,Washed / Wet,Green,84.25
442.0,0.12,3,0,0.0,Caturra,Natural / Dry,Green,84.25
1620.0,0.12,0,7,0.0,Other,Washed / Wet,Green,84.25
1600.0,0.12,0,2,0.0,Other,Washed / Wet,Green,84.25
371.61216,0.1,0,1,0.0,Bourbon,Other,Green,84.25
1700.0,0.11,0,2,0.0,Caturra,Washed / Wet,Green,84.25
,0.11,1,1,0.0,Hawaiian Kona,Natural / Dry,Bluish-Green,84.25
1450.0,0.12,0,1,0.0,Typica,Semi-washed / Semi-pulped,Green,84.25
1170.0,0.12,0,0,0.0,Bourbon,Washed / Wet,Green,84.25
1400.0,0.1,0,4,0.0,Bourbon,Washed / Wet,Bluish-Green,84.25
1700.0,0.13,4,29,0.0,Other,Natural / Dry,Green,84.25
1700.0,0.13,0,1,0.0,Bourbon,Washed / Wet,Green,84.17
,0.0,0,2,0.0,Caturra,Washed / Wet,Green,84.17
1700.0,0.09,0,2,0.0,Caturra,Washed / Wet,Bluish-Green,84.17
340.39673856,0.11,0,6,0.0,Caturra,Washed / Wet,Green,84.17
1565.0,0.1,0,10,1.0,Caturra,Washed / Wet,Green,84.17
1775.0,0.0,0,0,0.0,Caturra,Washed / Wet,Bluish-Green,84.17
1000.0,0.12,0,0,0.0,Caturra,Natural / Dry,Bluish-Green,84.17
1150.0,0.0,0,16,0.0,Catuai,Natural / Dry,,84.17
1850.0,0.0,0,0,0.0,Caturra,Washed / Wet,Blue-Green,84.17
1606.5,0.1,0,5,0.0,Gesha,Natural / Dry,Green,84.17
1400.0,0.13,0,0,0.0,Other,Washed / Wet,Green,84.17
1530.0,0.12,0,4,0.0,Other,Washed / Wet,Green,84.17
,0.11,0,0,0.0,,Washed / Wet,Bluish-Green,84.17
250.5,0.08,0,0,0.0,SL28,Washed / Wet,Green,84.17
1038.5,0.11,0,3,0.0,Mundo Novo,Natural / Dry,Green,84.17
399.48307200000005,0.11,0,4,0.0,Bourbon,Washed / Wet,Green,84.17
1500.0,0.11,0,2,0.0,Bourbon,Natural / Dry,Bluish-Green,84.17
1750.0,0.0,0,2,0.0,Caturra,Washed / Wet,Green,84.17
,0.11,0,2,0.0,Catuai,Natural / Dry,Bluish-Green,84.17
1600.0,0.11,0,1,0.0,Other,Washed / Wet,Green,84.17
,0.12,0,0,0.0,Mandheling,Natural / Dry,Bluish-Green,84.13
442.0,0.0,1,3,3.0,Caturra,Washed / Wet,Green,84.08
968.0,0.1,0,4,0.0,Typica,Washed / Wet,Bluish-Green,84.08
,0.1,0,4,0.0,Bourbon,Washed / Wet,Green,84.08
1775.0,0.0,0,2,0.0,Caturra,Washed / Wet,,84.08
1550.0,0.1,0,10,0.0,Bourbon,Washed / Wet,Bluish-Green,84.08
,0.11,1,9,0.0,Hawaiian Kona,Natural / Dry,Green,84.08
1480.0,0.11,1,10,0.0,Typica,Washed / Wet,Green,84.08
1800.0,0.09,0,15,0.0,Other,Natural / Dry,,84.08
,0.08,1,13,2.0,,Washed / Wet,,84.0
1800.0,0.11,3,1,11.0,Gesha,Natural / Dry,Green,84.0
1500.0,0.1,0,5,0.0,Caturra,Washed / Wet,Green,84.0
520.2570240000001,0.12,0,7,0.0,Caturra,Washed / Wet,Green,84.0
1600.0,0.11,2,7,0.0,Other,Washed / Wet,Green,84.0
371.61216,0.1,0,1,0.0,Bourbon,Natural / Dry,Green,84.0
371.61216,0.1,0,0,0.0,Bourbon,Other,Green,84.0
1480.0,0.12,0,0,0.0,,Washed / Wet,Green,84.0
1450.0,0.12,0,0,0.0,Caturra,Natural / Dry,Green,84.0
1775.0,0.12,0,3,0.0,Caturra,Washed / Wet,Green,84.0
1550.0,0.09,4,40,0.0,Other,Natural / Dry,Green,84.0
1260.0,0.1,0,0,0.0,Yellow Bourbon,Natural / Dry,Green,84.0
1700.0,0.11,0,1,0.0,Caturra,Washed / Wet,Green,84.0
1200.0,0.0,0,2,0.0,SL34,Washed / Wet,Green,84.0
,0.12,0,0,0.0,Other,Washed / Wet,Green,84.0
1650.0,0.0,0,0,0.0,SL28,Washed / Wet,Bluish-Green,84.0
1700.0,0.1,10,26,0.0,Other,Washed / Wet,Green,84.0
,0.06,0,0,0.0,,,,84.0
890.0,0.0,0,3,0.0,Bourbon,Natural / Dry,Green,83.92
1300.0,0.11,0,5,0.0,Mundo Novo,Washed / Wet,Green,83.92
1350.0,0.1,0,1,0.0,Catimor,Natural / Dry,Bluish-Green,83.92
934.0,0.11,0,7,2.0,Bourbon,Natural / Dry,Green,83.92
1200.0,0.11,0,3,0.0,Typica,Washed / Wet,Green,83.92
442.0,0.11,1,2,0.0,,,Green,83.92
,0.0,1,5,3.0,,,,83.92
,0.0,0,0,0.0,,Natural / Dry,Blue-Green,83.92
,0.0,0,0,0.0,,Washed / Wet,,83.92
,0.0,1,1,0.0,,Washed / Wet,,83.92
1775.0,0.0,0,1,0.0,Caturra,Washed / Wet,Green,83.92
950.0,0.06,0,0,0.0,Typica,Washed / Wet,Green,83.92
1550.0,0.12,0,3,0.0,Caturra,Natural / Dry,Green,83.92
900.0,0.12,10,32,0.0,Typica,Washed / Wet,Blue-Green,83.92
1500.0,0.11,0,2,0.0,Typica,Washed / Wet,,83.92
1400.0,0.0,0,2,0.0,Typica,Washed / Wet,Green,83.92
2527.0,0.0,1,6,0.0,Caturra,Washed / Wet,Green,83.83
,0.0,1,0,2.0,Caturra,,Green,83.83
1850.0,0.0,0,0,0.0,Caturra,Washed / Wet,Blue-Green,83.83
1500.0,0.11,0,6,7.0,Bourbon,Washed / Wet,Green,83.83
1200.0,0.0,0,0,0.0,,,,83.83
1.0,0.0,0,0,0.0,Yellow Bourbon,Natural / Dry,Green,83.83
525.0,0.0,0,1,0.0,Typica,Washed / Wet,Green,83.83
1676.5,0.12,0,4,0.0,,Natural / Dry,Green,83.83
1200.0,0.0,0,1,0.0,Bourbon,Semi-washed / Semi-pulped,Green,83.83
1300.0,0.1,0,3,0.0,Catuai,Washed / Wet,Green,83.83
371.61216,0.1,0,1,0.0,Bourbon,Washed / Wet,Green,83.83
1260.0,0.1,0,0,0.0,Yellow Bourbon,Natural / Dry,Green,83.83
800.0,0.09,0,0,0.0,,Natural / Dry,Bluish-Green,83.83
1750.0,0.11,0,1,0.0,Caturra,Washed / Wet,Green,83.83
399.48307200000005,0.11,0,3,0.0,Bourbon,Washed / Wet,Green,83.83
1218.0,0.1,0,2,0.0,Bourbon,Natural / Dry,Green,83.83
1300.0,0.11,0,4,0.0,Pacas,Natural / Dry,,83.83
1250.0,0.12,0,3,0.0,Yellow Bourbon,Semi-washed / Semi-pulped,Green,83.83
457.17585984000004,0.02,0,2,0.0,,,,83.83
,0.01,0,0,0.0,,,,83.83
,0.1,0,3,0.0,,,,83.83
1800.0,0.11,0,2,0.0,SL28,Washed / Wet,Green,83.75
890.0,0.11,0,5,0.0,Bourbon,Natural / Dry,Green,83.75
442.0,0.11,0,1,0.0,Caturra,Washed / Wet,Green,83.75
750.0,0.0,0,0,0.0,Typica,Natural / Dry,Green,83.75
,0.0,1,4,0.0,,Washed / Wet,Green,83.75
1650.0,0.1,0,2,1.0,Catimor,Washed / Wet,Green,83.75
442.0,0.0,0,0,0.0,Caturra,Natural / Dry,Green,83.75
1400.0,0.12,0,0,0.0,Bourbon,Natural / Dry,Green,83.75
260.12851200000006,0.12,0,1,0.0,Other,Washed / Wet,Green,83.75
1775.0,0.0,0,5,0.0,Caturra,Washed / Wet,Green,83.75
1550.0,0.0,0,3,0.0,Other,Washed / Wet,Green,83.75
1750.0,0.0,0,1,0.0,Caturra,Washed / Wet,Blue-Green,83.75
1750.0,0.11,0,3,0.0,Caturra,Washed / Wet,Green,83.75
,0.0,0,0,0.0,Hawaiian Kona,Natural / Dry,Bluish-Green,83.75
700.0,0.13,5,5,0.0,Caturra,Natural / Dry,,83.75
1300.0,0.11,0,1,0.0,Caturra,Washed / Wet,Bluish-Green,83.75
1600.0,0.1,0,1,0.0,,,,83.75
1600.0,0.06,0,1,0.0,,,,83.75
,0.0,0,0,0.0,,,,83.75
890.0,0.11,0,2,0.0,Bourbon,Natural / Dry,Green,83.67
1700.0,0.11,0,0,0.0,SL28,Washed / Wet,Bluish-Green,83.67
1400.0,0.1,0,2,0.0,Caturra,Washed / Wet,Green,83.67
1250.0,0.1,0,3,0.0,Caturra,Washed / Wet,Green,83.67
934.0,0.11,0,3,2.0,Bourbon,Natural / Dry,Green,83.67
1200.0,0.1,0,0,0.0,Caturra,Natural / Dry,Bluish-Green,83.67
1350.0,0.11,0,1,0.0,,,Blue-Green,83.67
800.0,0.12,0,0,0.0,,Washed / Wet,Bluish-Green,83.67
1625.0,0.11,0,4,0.0,Caturra,Washed / Wet,,83.67
413.51143104000005,0.1,0,0,0.0,Bourbon,Washed / Wet,Green,83.67
1750.0,0.0,0,3,0.0,Caturra,Washed / Wet,Green,83.67
1900.0,0.0,0,1,0.0,Caturra,Washed / Wet,Green,83.67
399.48307200000005,0.12,1,3,0.0,Bourbon,Washed / Wet,Green,83.67
399.48307200000005,0.11,0,2,0.0,Bourbon,Washed / Wet,Green,83.67
1750.0,0.11,0,1,0.0,Caturra,Washed / Wet,Green,83.67
1450.0,0.11,0,1,0.0,Caturra,Natural / Dry,Green,83.67
399.48307200000005,0.11,0,13,0.0,Bourbon,Washed / Wet,Green,83.67
1100.0,0.12,4,11,0.0,Typica,Washed / Wet,Green,83.67
1400.0,0.12,0,0,0.0,Typica,Washed / Wet,Green,83.67
464.51520000000005,0.1,0,0,0.0,Caturra,Washed / Wet,Green,83.67
,0.0,0,0,0.0,,,,83.67
890.0,0.11,0,5,0.0,Bourbon,Natural / Dry,Green,83.58
343.92705408,0.11,0,0,1.0,Caturra,Washed / Wet,Green,83.58
,0.11,0,4,0.0,Caturra,Washed / Wet,Green,83.58
1100.0,0.1,0,4,1.0,Catimor,Washed / Wet,Green,83.58
1775.0,0.12,0,3,0.0,Caturra,Washed / Wet,Green,83.58
1200.0,0.12,1,13,0.0,Caturra,Washed / Wet,Green,83.58
1850.0,0.0,0,7,0.0,Other,Washed / Wet,,83.58
1800.0,0.12,0,5,0.0,SL14,Washed / Wet,Green,83.58
1600.0,0.0,0,0,0.0,Caturra,Natural / Dry,Green,83.58
1550.0,0.12,0,1,0.0,Caturra,Washed / Wet,Green,83.58
1550.0,0.0,0,0,0.0,Caturra,Washed / Wet,,83.58
1000.0,0.11,0,0,0.0,Typica,Other,Green,83.58
1775.0,0.11,0,3,0.0,Caturra,Washed / Wet,Green,83.58
1000.0,0.12,0,2,0.0,Typica,Washed / Wet,,83.58
2136.0,0.11,0,4,0.0,Caturra,Natural / Dry,Green,83.58
1100.0,0.12,0,2,0.0,Catuai,Semi-washed / Semi-pulped,Blue-Green,83.58
1799.0,0.0,0,5,0.0,Caturra,Washed / Wet,Bluish-Green,83.5
,0.11,0,0,0.0,,,Blue-Green,83.5
1850.0,0.0,0,0,0.0,Caturra,Washed / Wet,Blue-Green,83.5
1000.0,0.0,0,0,0.0,Caturra,Natural / Dry,Green,83.5
371.61216,0.1,0,5,2.0,Bourbon,Washed / Wet,Bluish-Green,83.5
1775.0,0.12,0,4,0.0,Caturra,Washed / Wet,Green,83.5
1400.0,0.13,0,21,0.0,Ruiru 11,Washed / Wet,Green,83.5
1500.0,0.13,0,8,0.0,Sumatra,Semi-washed / Semi-pulped,Bluish-Green,83.5
1600.0,0.1,1,18,0.0,,Natural / Dry,,83.5
,0.0,1,0,0.0,,Washed / Wet,,83.5
1850.0,0.11,0,0,0.0,Caturra,Washed / Wet,Green,83.5
1400.0,0.1,0,0,0.0,Caturra,Washed / Wet,Green,83.5
1650.0,0.0,2,0,0.0,Caturra,Washed / Wet,,83.5
1350.0,0.1,0,3,0.0,Caturra,Natural / Dry,Green,83.5
1750.0,0.0,1,1,0.0,Caturra,Washed / Wet,Green,83.5
1750.0,0.11,0,2,,Caturra,Washed / Wet,Green,83.5
1170.0,0.13,0,14,0.0,Bourbon,Natural / Dry,Green,83.5
940.0,0.11,0,12,0.0,Typica,Semi-washed / Semi-pulped,Green,83.5
1400.0,0.12,0,0,0.0,Pacamara,Washed / Wet,Green,83.5
464.51520000000005,0.1,0,5,0.0,Caturra,Washed / Wet,Green,83.5
1775.0,0.11,0,0,0.0,Caturra,Washed / Wet,Green,83.5
427.353984,0.0,3,12,0.0,Bourbon,Washed / Wet,Green,83.5
,0.01,0,0,0.0,,,,83.5
1600.0,0.0,0,0,0.0,,,,83.5
439.0,0.0,0,1,2.0,Caturra,Washed / Wet,Green,83.42
1700.0,0.1,0,3,0.0,Bourbon,Washed / Wet,Green,83.42
442.0,0.11,0,2,0.0,Caturra,Washed / Wet,Green,83.42
1850.0,0.09,0,4,0.0,Caturra,Washed / Wet,Blue-Green,83.42
,0.11,0,0,0.0,,,Blue-Green,83.42
1800.0,0.11,0,1,0.0,SL14,Washed / Wet,Green,83.42
1200.0,0.13,0,0,0.0,Catimor,Washed / Wet,Bluish-Green,83.42
1330.0,0.11,0,0,0.0,Bourbon,Washed / Wet,,83.42
442.0,0.12,4,0,0.0,Caturra,Natural / Dry,Green,83.42
,0.12,0,6,0.0,Yellow Bourbon,Semi-washed / Semi-pulped,Green,83.42
1600.0,0.13,0,4,0.0,Bourbon,Washed / Wet,Green,83.42
1813.0,0.12,0,1,0.0,Caturra,Washed / Wet,Green,83.42
371.61216,0.1,0,1,0.0,Bourbon,Natural / Dry,Green,83.42
1500.0,0.1,0,2,0.0,Caturra,Washed / Wet,Green,83.42
399.48307200000005,0.11,0,0,0.0,Bourbon,Washed / Wet,Green,83.42
,0.0,0,2,0.0,Hawaiian Kona,Natural / Dry,Green,83.42
1450.0,0.11,0,2,0.0,Caturra,Washed / Wet,Green,83.42
,0.1,1,3,0.0,,,,83.42
,0.01,0,0,0.0,,,,83.42
,0.11,0,0,0.0,Peaberry,,,83.42
